100
Black,192,XBox,28-04-2018
The Crew,220,XBox,11-06-2016
Absolute Drift,130,Computador,29-06-2015
Assassins Creed Chronicles: China,196,Computador,21-09-2015
Megaman Legacy Colection,237,XBox,25-08-2015
Battlefield 1,178,Playstation,08-05-2017
Bloodborn,170,Playstation,26-02-2017
Black Mirror,175,Computador,28-11-2017
Control,189,Playstation,06-05-2017
Forza Motorsport 6,163,XBox,15-09-2015
Halo 5: Guardians,170,XBox,27-10-2015
Dark Souls 3,173,Playstation,31-08-2015
For Honor,114,Computador,14-02-2017
Days Gone,227,Playstation,14-09-2016
Death Stranding,233,Playstation,09-12-2015
Destiny 2,148,Playstation,16-06-2018
Detroit: Become Human,165,Playstation,02-02-2018
Fallout 4,107,Playstation,30-11-2019
Final Fantasy 7 Remake,120,Playstation,25-09-2019
Ghost Of Tsushima,145,Playstation,22-04-2018
Fallout 4,148,XBox,10-11-2015
Dead By Daylight,92,XBox,20-06-2017
Hellblade: Senuas Sacrifice,166,Computador,08-08-2017
Forza Motorsport 7,186,XBox,29-09-2017
South Park: A fenda que Abunda Força,157,XBox,17-10-2017
Hollow Knight,157,Computador,24-02-2017
Gran Turismo Sport,179,Playstation,22-08-2016
Horizon: Zero Dawn,81,Playstation,04-08-2018
Tekken 7,141,XBox,01-06-2017
The Evil Within 2,233,Computador,12-10-2017
Forza Horizon 4,129,XBox,28-09-2018
Beyond: Two Souls,125,Computador,22-06-2015
Mega Man 11,80,XBox,02-10-2018
Journey,161,Playstation,07-01-2017
Monster Hunter: World,224,XBox,26-01-2018
Detroit: Become Human,161,Computador,12-12-2019
Sea of Thieves,207,XBox,20-03-2018
Kingdom Hearts III,91,Playstation,17-03-2017
Super Bomberman R,222,XBox,12-06-2028
Unravel Two,139,XBox,09-06-2018
Pheonix Wright: Ace Attorney Trilogy,118,Computador,09-04-2019
Marvels Spider Man,187,Playstation,17-03-2016
Monster Hunter: World,238,Playstation,31-05-2015
Mortal Kombat 11,156,Playstation,20-04-2020
Red Dead Redemption 2,86,Playstation,16-06-2018
Shadow of the Colossus,128,Playstation,01-01-2015
Star Wars Jedi: Fallen Order,171,Computador,15-11-2019
Zen Chess: Mate in Two,217,Computador,30-04-2019
Ace Combate7: Skies Unknown,216,XBox,18-01-2019
Nicoline,141,XBox,22-09-2016
The Last Guardian,226,Playstation,03-02-2016
The Last of Us,92,Playstation,17-12-2020
The Last of Us 2,237,Playstation,06-05-2020
Devil May Cry 5,171,XBox,08-03-2019
Layers of Fear 2,128,XBox,28-03-2019
Hades,124,Computador,17-09-2020
The Resident Evil 3: Nemesis,122,Playstation,05-02-2020
Metro Exodus,89,XBox,15-02-2019
Sekiro: Shadows Die Twice,97,XBox,22-03-2019
Mortal Shell,110,Computador,18-08-2020
The Resident Evil 7,182,Playstation,05-12-2017
Mandler,184,XBox,16-09-2016
The Witcher 3: Wild Hunt,213,Playstation,29-03-2016
The Dark Pictures Anthologi: Man of Medan,152,XBox,29-10-2019
Vastah,101,Playstation,29-12-2015
The Dark Pictures Anthology: Little Hope,223,Computador,29-10-2020
Titanfall 2,125,Playstation,03-04-2015
Croix,228,XBox,15-09-2017
Uncharted 4: A Thiefs End,247,Playstation,13-05-2017
Battletoads (2020),248,XBox,20-10-2020
Until Dawn,223,Playstation,20-09-2016
Gears Tatics,103,XBox,10-11-2020
Grin Fandango(Remastered),132,XBox,29-10-2020
Yakuza: Like a Dragon,224,Computador,10-11-2020
Darian,120,XBox,01-08-2019
Tools Up!,250,Playstation,27-08-2019
Everybodys Golf,246,Playstation,29-08-2019
Battlefield 1,156,Computador,21-08-2016
Knights and Bikes,248,Playstation,24-04-2015
Dragons Dogma: Dark Arisen,117,Computador,15-01-2016
Firewatch,212,Computador,09-02-2016
Mirrors Edge Catalyst,218,Computador,07-06-2016
Immortals Fenyx Rising,131,XBox,03-12-2020
Bari,210,XBox,03-10-2018
Rocket League,236,Playstation,11-10-2018
Katana Zero,179,XBox,15-10-2020
Minecraft Dungeons,124,XBox,16-03-2020
Halo Wars 2,115,XBox,17-02-2017
XCOM 2,139,Computador,05-02-2016
Omensight,188,Playstation,12-01-2020
Walden: a game,181,Playstation,19-06-2020
Dragon Age: Inquisition,95,Computador,18-11-2014
Welcome to Hanwell,228,Playstation,05-10-2017
Little Nightmares,135,XBox,27-04-2017
Outlast 2,85,XBox,25-04-2017
South Park: The Stick of Truth,210,Computador,04-03-2014
Oneida,224,XBox,10-01-2016
Impact Winter,194,Playstation,30-11-2017
Alien: Isolation,161,XBox,06-10-2014
Last Day of June,164,Playstation,20-11-2020
